title,artist,created,date,creditline
Bailey Fountain,Eugene Savage,1931,1932,Gift of Frank and Mary Louise Bailey
Dover Patrol Monument,NULL NULL,1931,1931,Gifted through English Public Subscription
Maspeth Memorial,NULL NULL,1931,1931,Gift of Maspeth Memorial Committee
"Riverdale, Spuytenduyvil, Kingsbridge Memorial Bell Tower",NULL NULL,1931,1931,Gift of Public Subscription
Sergeant Joyce Kilmer,NULL NULL,1931,1931,Gift of The Catholic Writers Guild and The Davey Tree Expert Organization
American Boy,Louis Saint-Lanne,1932,1932,Gift of wife and children of Isaac L. Rice
Daniel D. Tompkins,Allen Newman,1932,1932,Gift of the Richmond Borough George Washington Bicentennial Commission
Genius of Administration,Edward Sanford,1932,1934,Purchased with Works Progress Administration Funds
Isham Park Benches,NULL NULL,1932,1932,Donated by Julia Isham Taylor
Johann Wolfgang Von Goethe,Karl Fischer,1932,1932,Gift of Goethe Society of America
"Loyalty, Valor and Sacrifice",Joseph Kiselewski,1932,1934,Purchased with Works Progress Administration Funds
Triumph of Government,Edward Sanford,1932,1934,Purchased with Works Progress Administration Funds
Triumph of Justice,George Snowden,1932,1934,Purchased with Works Progress Administration Funds
"Victory, Peace and Love of County",Joseph Kiselewski,1932,1934,Purchased with Works Progress Administration Funds
Waldo Hutchins Memorial,Paul Manship,1932,1932,Gift of August S. Hutchins
Washington Kill Von Kull Monument,NULL NULL,1932,1932,Gift of the Staten Island Chapter of the Daughters of the American Revolution
Wilbur E. Colyer Square,NULL NULL,1932,1932,Gift of American Legion & Community Citizens
Bronx County Building Frieze (30 panels),Charles Keck,1933,1934,Purchased with Works Progress Administration Funds
Bronx Victory Memorial,Belle Kinney,1933,1933,Gift of Public Subscription
Captain Roald Amundsen Plaque,NULL NULL,1933,1933,Gifted by the Norsemen Glee Club of Staten Island; Norwegian Singing Society of Brooklyn
Private Michael J. Lynch,NULL NULL,1933,1933,"Gift of Michael Lynch Post No. 831, Veterans of Foreign Wars"
Corporal Louis Zimmerman,NULL NULL,1934,1934,Gift of Residents of New York City
Corporal William Leonard Square,NULL NULL,1934,1934,Gift of American Legion Post 422
Fiorello H. La Guardia,Jo Davidson,1934,1957,LaGuardia Memorial Association
General George Washington Tablet,NULL NULL,1934,1934,"Gift of Daughters of the American Revolution, Matinecock Chapter"
Gerald MacDonald,Frederic De Henwood,1934,1934,"Gift of Forest Hills Post, No. 620, American Legion"
Marie Sklodowska Curie,NULL NULL,1934,1934,Gift of American Polish Children
Paul Rainey Memorial Gate,Paul Manship,1934,1934,Gift of Mrs. Grace Rainey Rogers
African Antelopes,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Alben Square Flagstaff,NULL NULL,1935,1935,"Gift of Bud H. Alben Post No. 1436, Veterans of Foreign Wars of the United States"
American Antelopes,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Baboon and Mandrill,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Bayside Civil War Boulder,NULL NULL,1935,1935,Gift of Bayside Historical Society
Caribou,Carl Mose,1935,1935,Purchased with T.E.R.A. Funds
"Cheetah, Leopard and Puma",Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Chimpanzee,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Cockatoos and Ara,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Cormorants,Emil Siebern,1935,1935,Purchased with T.E.R.A. Funds
Deer,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Eagles and Vultures,Emil Siebern,1935,1935,Purchased with T.E.R.A. Funds
Flushing World War Memorial,NULL NULL,1935,1935,Gift of Flushing Memorial Association
Fort Tryon Park Tablet,NULL NULL,1935,1935,Gift of John D. Rockefeller Jr.
Gorilla,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Jane Addams,NULL NULL,1935,1935,Gift of Women's International League for Peace and Freedom
Lions,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Macaque and Orang-outang,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Marabou,J. Walter,1935,1935,Purchased with T.E.R.A. Funds
Mowgli and Friends Attack the Monkey City,Frederick Roth,1935,1935,Commissioned by The City of New York through The Temporary Emergency Relief Administration
Mowgli is Carried by the Monkeys,William Diederich,1935,1935,Commissioned by The City of New York through The Temporary Emergency Relief Administration
Mowgli Learns the Law of the Jungle,William Diederich,1935,1935,Commissioned by The City of New York through The Temporary Emergency Relief Administration
Mowgli Protected from the Tiger by the Wolves,William Diederich,1935,1935,Commissioned by The City of New York through The Temporary Emergency Relief Administration
Mowgli Removes a Thorn from a Wolf's Paw,William Diederich,1935,1935,Commissioned by The City of New York through The Temporary Emergency Relief Administration
Mowgli Rides the Bull Against the Tiger,Frederick Roth,1935,1935,Commissioned by The City of New York through The Temporary Emergency Relief Administration
Mowgli Singes the Tiger,Frederick Roth,1935,1935,Commissioned by The City of New York through The Temporary Emergency Relief Administration
Mowgli Skins the Tiger,William Diederich,1935,1935,Commissioned by The City of New York through The Temporary Emergency Relief Administration
Penguins,J. Walter,1935,1935,Purchased with T.E.R.A. Funds
Ponies,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Pursuit,Emil Siebern,1935,1935,Commissioned by The City of New York through The Temporary Emergency Relief Administration
Rhesus and Ring-Tailed Lemurs,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Right Reverend Monsignor John P. Chidwick,Charles Keck,1935,1935,Gift of Spanish War Veterans
Rocky Mountain Goats,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Rocky Mountain Sheep,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Sambur Attacked by Wolves,William Diederich,1935,1935,Commissioned by The City of New York through The Temporary Emergency Relief Administration
Sundial,NULL NULL,1935,1935,NULL
Swans,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
The Waterhole in the Jungle,Emil Siebern,1935,1935,Commissioned by The City of New York through The Temporary Emergency Relief Administration
Tigers,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Turkeys,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Wolf and Lynxes,Frederick Roth,1935,1935,Purchased with T.E.R.A. Funds
Amphibian,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Augustus Heckscher Gate Posts,NULL NULL,1936,1936,Gift of Augustus Heckscher
Beach and Sea Lion,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Captain George H. Tilly,NULL NULL,1936,1936,Purchased with Temporary Emergency Relief Administration Funds
Charles B. Stover,NULL NULL,1936,1936,Purchased with Works Progress Administration Funds through the Charles B. Stover Memorial Association Inc.
Ephraim Elmer Ellsworth,NULL NULL,1936,1936,Purchase of New York City and New York State
Flying Fish,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
General Philip Henry Sheridan,Joseph Pollia,1936,1936,"Gift of General Sheridan Memorial Association, Inc."
Ibis Totem,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Jelly Fish,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Life Saver,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Columbus Square Tablet,NULL NULL,1937,1937,Gift of Italian Chamber of Commerce of Queens
Loeb Memorial Fountain,Frederick Roth,1936,1936,Gift of August Heckscher
Medusa,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Migrating Birds,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Murray Hill War Memorial,NULL NULL,1936,1936,"Gift of Murry Hill Post No. 56, American Legion"
Old Man River,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Poor Fish,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Reinhard E. Kaltenmeier,NULL NULL,1936,1936,Commissioned by the New York City Board of Aldermen
Sand Fleas,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Scorpions,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Speeder,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Sport Fish,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Wild Geese,Frederick Roth,1936,1936,Purchased with Works Progress Administration Funds
Adoption of the Constitution,NULL NULL,1937,1937,Gift of National Society of Colonial Dames
Capt. Malcolm A. Rafferty,NULL NULL,1937,1937,NULL
Dancing Bear,Frederick Roth,1937,1937,Purchased with Works Progress Administration Funds
Dancing Goat,Frederick Roth,1937,1937,NULL
Father Francis P. Duffy,Charles Keck,1937,1937,Gift of Father Duffy Memorial Committee and the Works Progress Administration
Mary Harriman Rumsey,NULL NULL,1937,1937,Gift of the Rumsey family
Snow Babies,Victor Frisch,1937,1938,Commissioned by Department of Parks and Recreation with Works Progress Administration Funds
V.F.W. Post 4658 World War II Memorial Plaque,NULL NULL,1937,1937,"Gift of Charles & Frank Trapani Twins Post No. 4658, V.F.W."
Bowling Green Marker,NULL NULL,1938,1938,Gift of Gardner Osborn
Catholic War Veterans Memorial,NULL NULL,1938,1938,Gift of Catholic War Veterans
Henry Hudson Memorial,Karl Gruppe,1938,1938,Gift of Hudson Memorial Committee
Joseph H. Lyons Plaque,NULL NULL,1938,1938,"Gifted by James S. Slosson Post, American Legion"
Monitor Memorial,Antonio de Filippo,1938,1938,Gift of The State of New York
Mother Goose,Frederick Roth,1938,1938,Commissioned by Department of Parks & Recreation
Orchard Beach Flagstaff,NULL NULL,1938,1938,NULL
Peter Stuyvesant,Gertrude Whitney,1938,1941,Gift of the Netherland-American Foundation
Schmul Memorial,NULL NULL,1938,1938,Gift of Louis and Hermine Schmul
William White Niles Flagstaff,NULL NULL,1938,1938,Gift of Niles Memorial Committee
Arthur Brisbane Monument,Richmond Barthe,1939,1939,Gift of Friends of Mr. Brisbane
General Horace Porter,NULL NULL,1939,1939,Gift of President Grant Monument Association
Grant's Tomb Flagstaff,NULL NULL,1939,1939,Gift of Grant Monument Association
Highest Natural Point in Manhattan,NULL NULL,1939,1939,Commissioned by the Department of Parks and Recreation
King Wladyslaw Jagiello,Stanislaw Ostrowski,1939,1945,"Gift of The King Jagiello Monument Committee, Inc."
Leiv Eiriksson,August Werner,1939,1939,Gift of Citizens of Brooklyn
Major General Frederick D. Grant,NULL NULL,1939,1939,Gift of Department of Parks and Recreation
New York State Marine Amphitheater Bas-Reliefs,NULL NULL,1939,1939,Gift of New York State; Acquired by the City in 1940
Pratt and White Memorial,NULL NULL,1939,1939,Gift of the League for the Improvement of Marine Park
Private Walter B. Robertson,NULL NULL,1939,1939,NULL
Red Hook Stadium Reliefs,NULL NULL,1939,1939,Purchased with Works Progress Administration Funds
Richard S. Newcombe,NULL NULL,1939,1939,Gift of Associates of Richard Newcombe
Bill Brown Post Memorial,NULL NULL,1940,1940,"Gift of American Legion, Bill Brown Post No. 507"
Brooklyn Public Library Gates,Thomas Jones,1940,1941,Commissioned by The City of New York
Henry Hudson Memorial Park Plaque,NULL NULL,1940,1940,NULL
Theodore Roosevelt,James Fraser,1940,1940,Acquired by provision of the New York State Legislature
American Legion Flagstaff,NULL NULL,1941,1941,"Gift of Colonel Francis Vigo Post No. 1093, American Legion"
Arthur Cunningham Flagstaff,NULL NULL,1941,1941,NULL
Captain George H. Tilly,NULL NULL,1941,1941,Gift of Spanish War Veterans of Jamaica
Christopher Columbus,Angelo Racioppi,1941,1941,Purchased with Works Progress Administration Funds
Eagles,NULL NULL,1941,1941,Purchased with Works Progress Administration Funds
Bayside Hills Memorial Flagstaff,NULL NULL,1942,1942,Gift of Bayside Hills Civic Association
East Side Post 868 American Legion Flagstaff,NULL NULL,1942,1942,Gift of the Ukrainian Production Unit of the American Red Cross
Martin Birdbath,Oronzio Maldarelli,1942,1942,"Gift of S. Holladay Philbin, Joan Kettering Martin, Patricia Martin Martin, and Nancy Walker"
Milan R. Stefanik,NULL NULL,1942,1942,Gifted by the Slovak Welfare Club
Stein-Goldie Veterans Square,NULL NULL,1943,1943,NULL
Bernard McCarthy World War II Memorial,NULL NULL,1944,1944,Gift of the West Side Greenwich Village Memorial Committee
Ukrainian-American Flagstaff,NULL NULL,1944,1944,Gift of Ukrainian-Americans of New York
East Side Post 868 American Legion Flagstaff,NULL NULL,1945,1945,Gift of Ukrainian Red Cross Unit 1942
Middle Village War Memorial,A. Althoff,1945,1945,Gift of Citizens of Middle Village; Property Owners Association of Middle Village
Sundial,A. Beretta,1945,1945,Gift of The Department of Parks & Recreation
Father Demo Square Memorial Flagpole,NULL NULL,1946,1946,Gift of American Legion Washington Square Post No. 1212
Governor Alfred E. Smith Flagstaff,Paul Manship,1946,1950,Gift of the Governor Alfred E. Smith Memorial Committee
Governor Alfred E. Smith Memorial,Charles Keck,1946,1950,Gift of the Governor Alfred E. Smith Memorial Committee
Metropolitan Life Insurance Company Memorial,NULL NULL,1946,1946,"Gift of Metropolitan Post #385, American Legion"
American Memorial to Six Million Jews of Europe,NULL NULL,1947,1947,"Gift of the American Memorial to Six Million Jews of Europe, Inc."
Coast Guard Memorial,Norman Thomas,1947,1955,Gift of Coast Guard World War II Memorial Fund
Concord World War II Memorial,NULL NULL,1947,1947,Gifted by the Concord Community Council
Liberty Avenue War Memorial,NULL NULL,1947,1947,Gifted through Public Subscription
McCarren Park World War II Flagstaff,NULL NULL,1947,1947,Gift of Greenpoint Patriotic Organization
Sheila Kay Marks,NULL NULL,1949,1949,Gift of Harry Marks
Navy Terrace,Alexander Victor,1947,1947,Gifted by the Civilian Naval Reserve Committee
Navy Walk,Alexander Victor,1947,1947,Gifted by the Civilian Naval Reserve Committee
Untermyer Fountain,Walter Schott,1947,1947,Gift of the son and daughters of Samuel and Minnie Untermeyer
Belle Harbor Memorial Circle,NULL NULL,1948,1948,Gift of Belle Harbor Garden Club
Colonel David Marcus Memorial Playground Plaque,NULL NULL,1948,1948,Gift of Colonel David Marcus Memorial Committee
Marine Memorial,NULL NULL,1948,1950,Gift of Marine Corps Fathers' Association of New York
The Isaiah Wall,NULL NULL,1948,1948,"Gift of Parks, Recreation & Cultural Affairs Administration"
J. Otis Swift,NULL NULL,1949,1949,Gift of the Yosians
Peter Chappetto Flagstaff,NULL NULL,1949,1949,Gift of Friends of Peter Chappetto
Queens Village-Bellerose Memorial,NULL NULL,1949,1949,Gift of Citizens of Queens Village-Bellerose
Eagle,C. Paul Jennewein,1954,1954,Gift of artist
Van Cortlandt Memorial Grove (39 tablets),NULL NULL,1949,1949,Gift of Peter G. Lehman Post #8646
Alfred J. Kennedy Memorial Flagstaff,NULL NULL,1950,1950,Gift of Alfred J. Kennedy Memorial Fund Committee
Chaplains Memorial,NULL NULL,1950,1950,Gift of Daughters of the Defenders of the Republic
General José de San Martín,Louis-Joseph Daumas,1950,1951,"Gift of Buenos Aires, Argentina"
Jamaica Estates,NULL NULL,1950,1950,"Gift of the Jamaica Estates Association, Inc."
Private David W. Gentle,NULL NULL,1950,1950,"Gift of D.W. Gentle Post No. 618, American Legion"
Brooklyn War Memorial,Charles Keck,1951,1951,"Gift of The Brooklyn War Memorial, Inc."
Cespino-Russo Post Plaque,NULL NULL,1951,1951,"Gifted by Cespino-Russo Post No. 1544, American Legion"
Sergeant Edward R. Miller,NULL NULL,1951,1951,"Gift of Sgt. Edward R, Miller Post No. 7336, Veterans of Foreign Wars"
Claremont Inn Marker,NULL NULL,1952,1952,Gift of the Department of Parks and Recreation
New Brighton War Memorial,NULL NULL,1952,1953,"Gift of Donegan-McGinley-Landy Post No. 1366, American Legion"
Salvation Army Monument,NULL NULL,1952,1952,Gift of Salvation Army
William Church Osborn Gates,Paul Manship,1952,1953,Gift of William Church Osborn Memorial Committee
Annadale Memorial,NULL NULL,1953,1953,Gift of the Beauvais-Hudson Post No. 126 of the American Legion
Armed Forces Plaque,NULL NULL,1953,1953,Gift of the Daughters of the Defenders of the Republic
Emily Warren Roebling Memorial Tablet,NULL NULL,1953,1953,Gift of the Brooklyn Engineers Club
Gus Stanley,NULL NULL,1953,1953,Gift of the Gus-Stanley Memorial Committee
Lower East Side War Memorial,Joseph Kiselewski,1953,1953,Gift of The Morris Dickstein Post #462
Father Duffy D.S.C. Post 54 Flagstaffs (east),NULL NULL,1954,1954,Gift of Father Duffy D.S.C. Post 54
Father Duffy D.S.C. Post 54 Flagstaffs (west),NULL NULL,1954,1954,Gift of Father Duffy D.S.C. Post 54
Father Giorgio Memorial,A.S. Cianfarani,1954,1954,"Gift of Edward J. Giorgio Post No. 689, Catholic War Veterans of America"
Grand Street Boys War Tablet,NULL NULL,1954,1954,Gift of the Grand Street Boys
Greenpoint World War II Memorial,NULL NULL,1954,1954,Gift of The Twenty-Seventh Memorial Post-American Legion # 1751
José Bonifácio de Andrada e Silva,José Lima,1954,1955,Gift of Brazil
Joseph Pulitzer,Carl Schmitz,1954,1954,Gift of a Private Donor
Shorakkopoch Rock,NULL NULL,1954,1954,"Gift of The Peter Minuit Post 1247, American Legion"
The Rowers,Irwin Glusker,1968,1968,Commissioned by the Department of Parks and Recreation
Corporal Walter J. Fufidio Flagstaff,J. Lorenzi,1955,1955,"Gift of Corporal Walter J. Fufido Post No. 38, American Veterans of World War II and Korea (AMVETS)"
Emma Lazarus,NULL NULL,1955,1955,"Gift of Federation of Jewish Women's Organizations, Inc."
Jewish-American Tercentenary Flagstaff,Abram Belskie,1955,1955,Gift of the New York Joint Legislative Committee for the American Jewish Tercentenary Committee
Richard Saunders Scott,NULL NULL,1955,1955,Gift of Mrs. S.S. Spivak
Robert Skirving Pirie,NULL NULL,1955,1955,Gift of Mrs. S.S. Spivak
Frank S. Hackett,NULL NULL,1956,1956,Gift of Ralph H. Bent and Friends of the late Dr. Frank S. Hackett
Genevieve Beavers Earle,NULL NULL,1956,1956,Gift of the Earle Plaque Committee
Hans Christian Andersen,Georg Lober,1956,1956,Gift of Danish American Women's Association
Irving and Estelle Levy Playground Gate,A. Beretta,1957,1958,Gift of The Irving and Estelle Levy Foundation
Lithuanian Flyers Memorial,Bruno Mankowski,1957,1957,Gift of The Lithuanians of Greater New York
Overseas Service League Flagstaff,NULL NULL,1957,1957,Gift of the Red Cross
Robert R. Pellicane,NULL NULL,1957,1957,NULL
Egbert Memorial,NULL NULL,1958,1958,Gifted by American Legion Post # 95
Alice in Wonderland,José de Creeft,1959,1959,Gift of the George & Marguerite De LaCorte Foundation
Edward Robinson Squibb,Joseph DiLorenzo,1959,1959,Gift of The Squibb Company
George M. Cohan,Georg Lober,1959,1959,Gift of George M. Cohan Memorial Fund
José Julián Martí,Anna Huntington,1959,1965,Gift of Anna Vaughn Hyatt Huntington to the Cuban Government
Senator Robert F. Wagner,Georg Lober,1959,1959,Gift of the International Brotherhood of Electrical Workers of Greater New York
Glover's Rock,NULL NULL,1960,1960,Gift of the Bronx County Historical Society
Japanese Tori,NULL NULL,1960,1960,Gift from the City of Tokyo
Peter Caesar Alberti,NULL NULL,1960,1960,"Gift of Italian Historical Society of America, the Columbus Citizens Foundation and the City of Venice"
Theodor Herzl Memorial,Joseph Dilorenzo,1960,1960,Gift of Kew Gardens Zionist District
Battle of Harlem Heights Marker,NULL NULL,1961,1961,"Gift of Daughters of the Defenders of the Republic, U.S.A."
East Coast Memorial,Albino Manca,1961,1963,Gift of the American Battle Monuments Commission
Knights of Pythias Memorial,NULL NULL,1961,1961,Gift of The Grand Lodge-Knights of Pythias
Robert F. Wagner,NULL NULL,1961,1961,Gift of Albert and Mary Lasker Foundation
Carmine Liotti and Lloyd Ikefugi,NULL NULL,1962,1962,Gift of Granito-Smith Post No. 1296
Kimlau War Memorial,NULL NULL,1962,1962,Gift of The American Legion
"Richard C. Patterson, Jr.",NULL NULL,1962,1962,Gift of Mary Lasker
Antonin Dvorak,Ivan Mestrovic,1963,1997,The New York Philharmonic; The Dvorak American Heritage Association
John F. Kennedy Memorial Tree marker,NULL NULL,1963,1963,Gift of the Brooklyn Borough President
Wave Hill Landmarks Plaque,NULL NULL,1963,1963,Gift of New York Community Trust
Bowling Green Fence Plaque,NULL NULL,1964,1964,Gift of The New York Community Trust
Charles Revson Fountain,NULL NULL,1964,1964,Gift of the Revlon Foundation
Forms in Transit,Theodore Roszak,1964,1964,Commissioned for the New York World's Fair
Free Form,José De Rivera,1964,1964,Commissioned for the New York World's Fair
Freedom of the Human Spirit,Marshall Fredericks,1964,1964,Commissioned for the New York World's Fair
Susan E. Wagner,NULL NULL,1965,1965,Gift of Albert and Mary Lasker Foundation
John N. LaCorte,Albino Manca,1964,2004,Gift of The Italian Historic Society
Joseph J. Lynch and Ferdinand A. Socho Memorial,A. Beretta,1964,1964,Gift of the New York Police Department
Rocket Thrower,Donald De Lue,1964,1964,Commissioned for the New York World's Fair
Unisphere and Fountain,Gilmore Clarke,1964,1964,Gift of USS Steel Corporation; Gift of World's Fair Corporation
Unisphere Tablets (4),NULL NULL,1964,1964,Gift of USS Steel Corporation
Verrazzano Memorial Flagstaff,Albino Manca,1964,1964,NULL
Bartel-Pritchard Circle War Memorial,NULL NULL,1965,1965,"Gift of Patrick J. Devaney Post No. 964, Veterans of Foreign Wars of the United States"
Delacorte Clock,Andrea Spadini,1965,1965,"Gift of George T. Delacorte, George Delacorte Fund"
John Cashmore Marker,NULL NULL,1965,1965,Gifted by The Citizens of Brooklyn
John F. Kennedy Memorial,Neil Estern,1965,1965,Commissioned by The City of New York
World's Fair Time Capsule Marker,NULL NULL,1965,1965,Gift of Westinghouse Electric Corporation
Neumann-Goldman,NULL NULL,1966,1966,"Gift of Neumann-Goldman Post No. 69, Jewish War Veterans of the United States"
Alamo,Tony Rosenthal,1967,1967,"Gifted by Knoedler & Company, Tony Rosenthal, and an anonymous donor"
George Washington as Master Mason,Donald De Lue,1967,1967,Gift of Grand Lodge F. & A. Masons
Job,Natan Rapoport,1967,1987,Gift of Dr. and Mrs. Murray Fuhrman
Vatican Memorial Exedra,NULL NULL,1967,1964,NULL
Father Kehoe Square Memorial,Jack Kipnis,1968,1968,Gifted by The Teen Activity Center of Kings
Gates of Life,Albino Manca,1968,1968,NULL
Michael J. Leonard Memorial Plaza,NULL NULL,1968,1968,"Gift of Grasmere Post # 1191, American Legion"
Oscar Comras Mall,NULL NULL,1968,1968,Gift of Pelham Parkway Citizens Council
Reverend Matthew J. Crosson,NULL NULL,1968,1968,Gift of the Matthew J. Crosson Memorial Fund
Louie Stern Memorial,NULL NULL,1969,1969,"Gift of Port Authority of New York, Chamber of Commerce of Washington Heights"
Coffey Square,NULL NULL,1970,1970,Gift of The Greater Bay Ridge Coffey Square Monument Committee
Lilac Walk marker,NULL NULL,1970,1970,Gift of Herbert M. Singer
Argonne-Marine Memorial Oval Marker,NULL NULL,1971,1971,"Gift of Argonne-Marine Park Post No. 107 and Ladies Auxiliary, Veterans of Foreign Wars of the United States"
Armillary Sphere,Albert Stewart,1971,1971,Gift of Hugh Trumbull Adams
Frederick Johnson Memorial,Robert Pugh,1971,1971,Gift of Frederick Johnson Memorial Committee
Robert F. Kennedy Memorial,Anneta Duveen,1971,1972,Gift of The Robert F. Kennedy Ad Hoc Memorial Committee
Skagerrak,Antoni Milkowski,1971,1971,Gift of the Association for a Better New York
Wave Hill National Parks Service Tablet,NULL NULL,1971,1971,Gift of National Parks Service
Wingdale,Roger Bolomey,1971,1973,Gift of Association for a Better New York
Cactus Couple,Thea Tewi,1985,1990,Gift of Thea Tewi
Woodside Memorial,NULL NULL,1971,1971,Gift of the Woodside Memorial Committee
Boar,Pietro Tacca,1972,1972,Gift of Salute to the Seasons Fund from donation by Hugh Trumbull Adams
Freedom Tree Marker,NULL NULL,1972,1972,NULL
Night Presence IV,Louise Nevelson,1972,1973,Gift of Louise Nevelson
Tree of Hope III,Algernon Miller,1972,1972,Gifted by Algernon Miller
Weeping Beech Tree Landmark Plaque,NULL NULL,1972,1972,Gift of The New York Community Trust
Admiral George Dewey,Daniel French,1973,1973,Gift of The Admiral George Dewey Memorial Committee
Arthur Ross Pinetum marker,NULL NULL,1973,1973,Gift of Arthur Ross
Bird Flying Machine,Dolly Perutz,1973,1991,Gift of Tino Perutz
Columnade,Eduardo Villamizar,1973,1973,Gift of the 1971-1962 Mayor's Neighborhood Action Program
Dr. Martin Luther King Jr. Memorial,William Tarr,1973,1973,NULL
Freedom Tree Marker,NULL NULL,1973,1973,NULL
The Immigrants,Luis Sanguino,1973,1983,Gift of Samuel and Mary Rudin
