title,artist,created,date,creditline
The Tempest (Prospero and Miranda),Milton Hebald,1973,1973,Gift of the Delacorte Foundation
Washington A. Roebling Memorial,S. Hemming,1973,1973,Gift of Society of Old Brooklynites
3000 A.D. Diffusion Piece,Terry Fugate-Wilcox,1974,1974,Commissioned by the Public Arts Council and Neighborhood Action Council
5 in 1,Tony Rosenthal,1974,1974,Commissioned by the Department of Public Works for the new Police Headquarters
Debs Myers Memorial,NULL NULL,1974,1974,Gift of the Friends of Deb Myers
Monsignor Joseph A. McCaffrey,NULL NULL,1974,1974,Gift of Holy Cross Church & The Neighborhood Opportunity Center
Monsignor Joseph A. McCaffrey,NULL NULL,1974,1974,Gift of Holy Cross Church & The Neighborhood Opportunity Center
Frank J. McManus,NULL NULL,1975,1975,Gift of Neighborhood
Gene Farmer,NULL NULL,1975,1975,"Gift of Plan Our Park Committee of St. George, Inc."
Rockaway Veterans Memorial Tree Markers,NULL NULL,1975,1975,NULL
Frank D. Paulo,Amy Davidson,1985,1985,Gift of the Paulo Foundation Committee
Confucius,Liu Shih,1976,1976,Gift of Chinese Consolidated Benevolent Association of New York City
Father Capodanno Memorial,NULL NULL,1976,1976,Gift of the Knights of Columbus/ Madonna Council
Harlem Hybrid,Richard Hunt,1976,1976,Gift of Peter Putnam/ Mildred Andrews Fund
Haym Salomon,NULL NULL,1976,1976,"Gift of Nat and Maxwell Dorr Post No. 793, Jewish War Veterans of the United States of America"
Jerusalem Grove Marker,NULL NULL,1976,1976,"Gifted by The City of Jerusalem, Israel"
Joseph Lisa,NULL NULL,1976,1976,NULL
Sunnyside Memorial,NULL NULL,1976,1976,Gift of Memorial Monument Committee
Baker Monument,NULL NULL,1977,1977,Gift of The Richmond County Bar Association
Cornelius Heeney,Anneta Duveen,1977,1977,Gift of The Brooklyn Benevolent Society
Netanyahu Memorial,NULL NULL,1977,1977,Gift of Bronx Regional Zionist Organization of America
Shadows and Flags,Louise Nevelson,1977,1978,Gift of The Mildred Andrews Fund
Icon II,Seena Donneson,1978,1980,Gift of the Grow-Kiewit - MK Tunneling Corporation
Juan Pablo Duarte,Nicola Arrighini,1978,1978,Gift of The Government of the Dominican Republic
Romeo and Juliet,Milton Hebald,1978,1978,Gift of George T. Delacorte
Eaphae-Aekyad #2,Douglas Abdell,1979,1979,Long-term loan of The Rosenstiel Foundation
Kryeti-Aekyad #2,Douglas Abdell,1979,1979,Gift of The Rosenstiel Foundation
Puerto Rican Sun,Rafael Ferrer,1979,1979,Gift of Bronx Venture Corporation
Richard Tucker,Milton Hebald,1979,1980,Gift of Richard Tucker Music Foundation and Mrs. Sarah Tucker
The Family,Chaim Gross,1979,1992,Gift of Irwin Hersey and Friends of Chaim Gross
Gay Liberation,George Segal,1980,1992,Gift of Mildred Andrews Fund
John Paul Jones Memorial Flagstaff,NULL NULL,1980,1980,Gifted by The Committee for John Paul Jones
Peace Form One,Daniel LaRue Johnson,1980,1980,Gift of The Phelps-Stokes Fund
William F. Moore Memorial,NULL NULL,1980,1980,NULL
Civil Engineers Plaque,NULL NULL,1981,1981,Gift of the American Society of Civil Engineers
Phillip Mazzei Flagstaff,NULL NULL,1981,1981,"Gift of Columbus ESCA Alliance, Inc."
Rockaway Mosaic,Ann Evans,1981,1981,Commissioned through Department of Cultural Affairs Community Art Development Program
Francis Makemie,NULL NULL,1982,1982,"Gift of the Paul O'Dwyer, Irish Institute of New York"
Margaret Corbin,NULL NULL,1982,1982,Gift of Chamber of Commerce of Washington Heights
Growth,Jorge Rodríguez,1985,1985,Commissioned through Department of Cultural Affairs Percent for Art Program
Norwegian Veterans Monument,NULL NULL,1982,1982,Gift of Norwegian War Veterans
Raoul Wallenberg Marker,NULL NULL,1982,1982,Gift of Queens Wallenberg Committee
Reverend Benjamin J. Lowry,Robert Pugh,1982,1982,Gift of Zion Baptist Church and Community
Florence Gallagher,NULL NULL,1983,1983,Gift of the Kingsbridge Historical Society
Gravesend Veterans Memorial,NULL NULL,1983,1983,Gift of the Gravesend Chamber of Commerce Inc.
Ilse Metzger,NULL NULL,1983,1983,NULL
Sheridan Square Viewing Garden Plaque,NULL NULL,1983,1983,"Gift of Sheridan Square Triangle Association, Inc."
Untitled Stainless Steel Sculpture,Todd Williams,1983,1983,Commissioned by The City of New York
Face to Face,Peter Chinni,1984,1984,Commissioned by The City of New York
Firefighting Mosaic,Ned Smyth,1984,1984,Purchased by the Department of General Services
Imagine,NULL NULL,1985,1985,"Gift of the city of Naples, Italy"
Subway Map Floating on a New York Sidewalk,Francoise Schein,1985,1985,"Commissioned by Tony Goldman, Goldman Properties"
Vietnam Memorial,William Fellows,1985,1985,Gift of Vietnam Veterans Memorial Commission
Crack Is Wack,Keith Haring,1986,1986,Gift of the artist (Keith Haring)
Frederick E. Samuel,Albert Benevento,1986,1992,Gift of the New York City Department of Parks and Recreation
Mohandas Gandhi,Kantilal Patel,1986,1986,Gift of Gandhi Memorial International Foundation and Mohan B. Murjani
Pete McArdle,NULL NULL,1986,1986,Gift of Pete McArdle Memorial Committee
Carmine Street Pool Mural,Keith Haring,1987,1987,Gift of Keith Haring
General José Artigas,José Luis Zorilla de San Martin,1987,1987,Gift of Carlos Páez Vilaro and Banco de La República del Uruguay
Line of Defense,NULL NULL,1987,1987,Gifted by Sons of the Revolution (original); Prospect Park Conservancy (replacement)
Seat,David Saunders,1987,1987,Commissioned through Department of Cultural Affairs Percent for Art Program
Sergeant Joseph E. Schaefer Memorial,NULL NULL,1987,1987,Gift of Joseph E. Schaefer Monument Committee
Winged Shadows,Robert Adzema,1987,1987,NULL
Antonio Meucci Memorial,NULL NULL,1989,1989,Gift of The Italian Historical Society
Doris C. Freedman Plaza,NULL NULL,1989,1989,Gift of Susan Freedman
Group of Bears,Paul Manship,1989,1990,Gift of Samuel Friedman
Immigration on the Lower East Side,Richard Haas,1989,1989,Commissioned through Department of Cultural Affairs Percent for Art Program
Reunion,Valerie Jaudon,1989,1989,Commissioned through Department of Cultural Affairs Percent for Art Program
Rockaway Women Veterans Monument,Eileen Barry,1989,1989,"Gift of Daniel M. O'Connell Post No. 272, American Legion (unauthorized installation - not approved by the Department of Parks and Recreation)"
The Judgment of Pao Kung,Richard Haas,1989,1989,Commissioned through Department of Cultural Affairs Percent for Art Program
The Judgment of Solomon,Richard Haas,1989,1989,Commissioned through Department of Cultural Affairs Percent for Art Program
Broad Channel Memorial Park Flagstaff,NULL NULL,1991,1991,Gift of American Legion Post 1404 & Auxiliary
Bayard Rustin,NULL NULL,1990,1990,"Purchase from Contractor, Causeway Contracting"
Father Jerzy Popieluszko Monument,Stanislaw Lutostanski,1990,1990,"Gift of The Polish American Congress, Downstate N.Y. Division"
Garibaldi Marker,NULL NULL,1990,1990,Gift of the Italian Historical Society of America and A. Ottavino Corp.
Memorial to the Victims of the Injustice of the Holocaust,Harriet Feigenbaum,1990,1990,Commissioned through Department of Cultural Affairs Percent for Art Program
Neon for the 59th Street Marine Transfer Station,Stephen Antonakos,1990,1990,Commissioned through Department of Cultural Affairs Percent for Art Program
Tomorrow's Wind,Melvin Edwards,1990,1995,Commissioned through Department of Cultural Affairs Percent for Art Program
American Merchant Mariners Memorial,Marisol Escobar,1991,1991,"Gift of the American Merchant Mariner's Memorial, Inc."
"Bill ""Bojangles"" Robinson Mural",NULL NULL,1991,1992,Gift of the Office of the Mayor
Crime Victims Memorial,NULL NULL,1991,1991,Gift of the National Victim Center
Gertrude Stein,Jo Davidson,1991,1992,Gift of Dr. Maury Leibovitz
Harold W. Cohn,Stanislaw Lutostanski,1991,1991,Gift of Friends of Cohn Square
New York Korean War Veterans Memorial,Mac Adams,1991,1991,Gift of New York Korean Veterans Memorial Commission
Private Frederick Staats,NULL NULL,1991,1991,Gift of American Legion Post 517
Bowling Green Fountain,NULL NULL,1992,1992,Gift of Valerie Delacorte and City Parks Foundation
Brooklyn Korean War Veterans Plaza,NULL NULL,1992,1992,Gift of The Korean War Memorial Monument Committee
First Symphony of the Sea,Toshio Sasaki,1992,1993,Commissioned through Department of Cultural Affairs Percent for Art Program
Hippopotamus Fountain,Bob Cassilly,1992,1993,"Gift of the Playground Project, Inc."
"John Vincent Daniels, Jr.",NULL NULL,1992,1992,Commissioned by The Department of Parks & Recreation
Judgment,Kit-Yin Snyder,1992,1992,Commissioned through Department of Cultural Affairs Percent for Art Program
Midland Beach War Memorial,NULL NULL,1992,1992,Gift of the Midland Beach Community Center
Roof Sculpture for 107th Police Precinct,Alice Aycock,1992,1992,Commissioned through Department of Cultural Affairs Percent for Art Program
Andrew Heiskell Plaza,NULL NULL,1993,1993,Gift of the Bryant Park Restoration Corporation
Joseph Manna,NULL NULL,1993,1993,Gift of Vincent Pompa and Mariners Harbor Civic Association
Socrates,Anthony Frudakis,1993,1993,"Gift of Athens Square, Inc."
Topiary: A Twenty Year Project,Mags Harries,1993,1993,Commissioned through Department of Cultural Affairs Percent for Art Program
Anthony R. Gaeta Memorial,NULL NULL,1994,1994,Commissioned by the Department of Parks and Recreation
Design Team Project,Scott Burton,1994,1994,Commissioned through Department of Cultural Affairs Percent for Art Program
Dr. Ronald McNair,Ogundipe Fayomi,1994,1994,Commissioned through Department of Cultural Affairs Percent for Art Program
Dragon Fountain,Christian Zimmerman,1997,1997,Commissioned by the Department of Parks and Recreation
Etched Granite Pavement,Matt Mullican,1994,1995,Commissioned through Department of Cultural Affairs Percent for Art Program
Fiorello H. La Guardia,Neil Estern,1994,1994,Gift of Friends of La Guardia Place et al.
Fire hat,David Saunders,1994,1994,Purchase
Fred Lebow,Jesus Dominguez,1994,1994,Gift of New York City Marathon Tribute Committee
Lt. Nick Lia Memorial,NULL NULL,1994,1994,Gift of Military Order of Devil Dogs
Police Officer Jose A. Perez,NULL NULL,1994,1994,NULL
Sundial,Robert Adzema,1994,1994,Commissioned through Department of Cultural Affairs Percent for Art Program
A Bird Named Goldilocks,Ann Marie McDonnell,1995,1995,Gift of The Cultural Coalition of Staten Island
Dialogue with the Sun,Susumo Shingu,1995,1995,Commissioned through Department of Cultural Affairs Percent for Art Program
East River Roundabout,Alice Aycock,1995,1995,Commissioned by the New York City Economic Development Corporation
El Arbol de Esperanza,L. Hatcher,1995,1995,Commissioned through Department of Cultural Affairs Percent for Art Program
Family Library Table,Rolando Briseno,1995,1995,Commissioned through Department of Cultural Affairs Percent for Art Program
The Totally Kid Carousel,Milo Mottola,1998,1998,Commissioned through Department of Cultural Affairs Percent for Art Program
Gretta Moulton Gate,Bradford Greene,1995,1995,Gift of the Greenbelt Conservancy
Happy Land Memorial,José Velasquez,1995,1995,Commissioned by the Department of Parks and Recreation
Lady Deborah Moody Memorial Plaque,NULL NULL,1995,1995,Gift of The National Society Colonial Daughter's of The Seventeenth Century
Lieutenant George W. Lener Memorial,Scott LoBaido,1995,1995,"Gift of Friends of Lt. George W. Lener, Inc."
Luis R. Lopez Memorial Flagstaff,NULL NULL,1995,1995,Commissioned by the Department of Parks and Recreation
"Private Joseph F. Merrell, Jr.",NULL NULL,1995,1995,Gift of Staten Island Veterans Memorial Committee
Commodore John Barry,NULL NULL,1996,1996,Gift of the Commodore Barry Club
Doric Columns,Anthony Frudakis,1996,1996,"Gift of Athens Square, Inc."
Eleanor Roosevelt Memorial,Penelope Jencks,1996,1996,Gift of Eleanor Roosevelt Monument Fund
Emilio Barbosa,NULL NULL,1996,1996,Gift of Joseph Barbosa
Frank and Constantine Busso,NULL NULL,1996,1996,Gift of Mariners Harbor Civic Association
Henry W. Maxwell Memorial (replica),Augustus Saint-Gaudens,1996,1996,Gift of David Schwartz Foundation
Korean War Veterans Memorial,NULL NULL,1996,1996,Gift of Allan F. Kivlehan Chapter Korean War Veterans of Staten Island
Little Dances,Howard McCalebb,1996,1996,Commissioned through Department of Cultural Affairs Percent for Art Program
South American Tropical Forest and African Savannah,Amanda Jaffe,1996,1996,Commissioned through Department of Cultural Affairs Percent for Art Program
Tortoise and Hare,Michael Browne,1996,1996,Commissioned by the Department of Parks and Recreation
Wave Wall in Green,Ned Smyth,1996,1996,Commissioned through Department of Cultural Affairs Percent for Art Program
Duke Ellington Memorial,Robert Graham,1997,1997,Gift of the Duke Ellington Memorial Fund
East 107th Street Recreational Pier,Andrea Blum,1997,1997,Commissioned through Department of Cultural Affairs Percent for Art Program
Freedom's Gate,Charles Searles,1997,1997,Commissioned through Department of Cultural Affairs Percent for Art Program
Holocaust Memorial Mall,NULL NULL,1997,1997,Gift of Brooklyn Borough President's Office
"If You Don't Know Where You Come From, How Do You Know Where You Are Going?",Willie Birch,1997,1997,Commissioned through Department of Cultural Affairs Percent for Art Program
Peter & Willie,Otto Neals,1997,1997,Gift of The Ezra Jack Keats Foundation
Athena,Spiro Goggakis,1998,1998,"Gift of City of Athens, Greece (sculpture); Gift of Athens Square, Inc. (installation)"
Fountain of the Dolphins,Steven Dickey,1998,1998,Gift of the Staten Island Borough President's Office
"Louis Valentino, Jr.",NULL NULL,1998,1998,Commissioned by The Brooklyn Borough President's Office
Raoul Wallenberg Monument,Gustav Kraitz,1998,1998,Gift of Marcus Storch and family (in memory of Hillel Storch)
Time Sculpture,Philip Johnson,1998,1999,Gift of Yaffe and Gedalio Grinberg
Lin Ze Xu,Li Wei-Si,1999,1999,Gift of Lin Ze Xu Foundation U.S.A.
The New York Times Capsule,Santiago Calatrava,1999,2000,Gift of the New York Times
Bound Hands Rising Free,Thomas Cleveland,2000,2000,Commissioned by the Department of Parks and Recreation
Community Island Pond,Carl Cheng,2000,2001,Commissioned through Department of Cultural Affairs Percent for Art Program
Flushing Bay Promenade Pavement,Jackie Ferrara,2000,2001,Commissioned through Department of Cultural Affairs Percent for Art Program
Foley Square Medallions,NULL NULL,2000,2000,NULL
Honor 2000,Mierle Ukeles,2000,2000,Commissioned through Department of Cultural Affairs Percent for Art Program
New York City Sewer Covers,Elizabeth Turk,2000,2000,Commissioned through Department of Cultural Affairs Percent for Art Program
River That Flows Two Ways,Wopo Holup,2000,2000,Gift of Conservancy for Historic Battery Park
Shadow Garden,Carl Cheng,2000,2001,Commissioned through Department of Cultural Affairs Percent for Art Program
Soul In Flight: Arthur Ashe Memorial,Eric Fischl,2000,2000,Purchase
Triumph of the Human Spirit,Lorenzo Pace,2000,2000,Commissioned through Department of Cultural Affairs Percent for Art Program
Achilles and Odysseus,Tim Rollins,2001,2001,Commissioned through Department of Cultural Affairs Percent for Art Program
Battle of the Bulge,NULL NULL,2001,2001,Gift of Veterans of the Battle of the Bulge and the Department of Parks & Recreation
Benito Juarez,Moises Cabrera Orozco,2002,2004,Gift of the Mexican government
Brooklyn Wall of Remembrance,NULL NULL,2002,2002,NULL
Irish Hunger Monument,NULL NULL,2002,2002,Gift of the local chapter of The Ancient Order of Hibernians and local residents
Matthew J. Buono Memorial Fountain,NULL NULL,2002,2002,Commissioned by the Department of Parks and Recreation
Ralph Ellison Memorial,Elizabeth Catlett,2002,2003,Gift of the Ralph Ellison Memorial Committee
The Wheel of Justice,Claudia DeMonte,2002,2002,Commissioned through Department of Cultural Affairs Percent for Art Program
Union Square Park Labor & History Plaques,Gregg LeFevre,2002,2002,Commissioned by the Department of Parks and Recreation
Hillcrest Post No. 1078 of the American Legion,NULL NULL,2005,2005,Gift of Hillcrest Post No. 1078 of the American Legion
Vietnam Memorial,NULL NULL,2002,2002,Gift of Bay Ridge Vietnam Memorial Committee
Nobel Monument,Sivert Lindblom,2003,2003,Gift of Merck Company Foundation
Working in the Same Direction,Béatrice Coron,2003,2003,Commissioned through Department of Cultural Affairs Percent for Art Program
Beacon,Robert Ressler,2004,2005,"Gift of Brooklyn Remembers, Inc."
Best on the Beach,Jane Greengold,2004,2004,Commissioned through Department of Cultural Affairs Percent for Art Program
Goldenrain Corners,Ming Fay,2004,2004,NULL
Large Coqui,Tom Otterness,2004,2007,Gift of Tom Otterness
Postcards,Masayuki Sono,2004,2004,Commissioned by the New York City Economic Development Corporation
Ten Heroes Plaza flagstaff,NULL NULL,2004,2004,Commissioned by The Department of Parks & Recreation
Amorphophallus Titanum,Tom Otterness,2005,2005,Commissioned through Department of Cultural Affairs Percent for Art Program
Jackie Robinson and Pee Wee Reese Monument,William Behrends,2005,2005,Commissioned by The City of New York
Private Passage,Malcolm Cochran,2005,2005,Commissioned through Department of Cultural Affairs Percent for Art Program
369th Infantry Regiment Memorial,NULL NULL,2006,2006,Gift of 36t9th Historical Society & Veterans Association
Coenties Ship,Bryan Hunt,2006,2006,Commissioned through Department of Cultural Affairs Percent for Art Program
Flight 587 Memorial,Freddy Rodriguez,2006,2006,Commissioned through Department of Cultural Affairs Percent for Art Program
Korean War Memorial,William Crozier,2006,2007,Gift of Korean War Veterans Memorial Committee
Diagonal Sonata,Toshio Sasaki,2007,2007,Commissioned through Department of Cultural Affairs Percent for Art Program
Harriet Tubman Memorial,Alison Saar,2007,2008,Commissioned through Department of Cultural Affairs Percent for Art Program
One Stone,Cai Guo-Qiang,2007,2007,Commissioned through Department of Cultural Affairs Percent for Art Program
Python,Steve Foust,2007,2007,Commissioned through Department of Cultural Affairs Percent for Art Program
Sentinel Lanterns,Julian LaVerdiere,2007,2007,Commissioned through Department of Cultural Affairs Percent for Art Program
Third Water Tunnel Workers Memorial,NULL NULL,2007,2007,Part of Department of Environmental Protection revitalization project
Wall Street Fountain,NULL NULL,2007,2007,Gift of Deutsche Bank
Waterfront Nature Walk,George Trakas,2007,2007,Commissioned through Department of Cultural Affairs Percent for Art Program
25 Bond Street,Ken Hiratsuka,2008,2008,Commissioned by The Department of Buildings
Aristotle,George Tsaras,2008,2008,"Gift of the People of Chalkidiki and Athens Square, Inc."
Voice I,Nari Ward,2008,2009,Commissioned through Department of Cultural Affairs Percent for Art Program
Voice II,Nari Ward,2008,2009,Commissioned through Department of Cultural Affairs Percent for Art Program
Voice IV,Nari Ward,2008,2009,Commissioned through Department of Cultural Affairs Percent for Art Program
Wall Drawing #1252: Scribbles for Pier 88,Sol LeWitt,2008,2008,Commissioned through Department of Cultural Affairs Percent for Art Program
Assent Ascent,Jim Conti,2009,2009,Commissioned through Department of Cultural Affairs Percent for Art Program
Canal Waterworks,Elyn Zimmerman,2009,2009,Funded by the Paul Milstein Foundation
Close Contact,Gustav Kraitz,2009,2009,Gift of the Samuel J. and Ethel LeFrak Charitable Trust
Cross-Section,Samm Kunce,2009,2009,Commissioned through Department of Cultural Affairs Percent for Art Program
This Way,Linnaea Tillett,2009,2009,Commissioned through Department of Cultural Affairs Percent for Art Program
Castello Plan,Simon Verity,2010,2010,NULL
Edge of the Plant/Edge of the Neighborhood,Vito Acconci,2010,2010,Commissioned through Department of Cultural Affairs Percent for Art Program
Sophocles,Chris Vilardi,2010,2015,"Gift of Athens Square Park, Inc."
Dr. Sun Yat Sen,Lu Chun-Hsiung,2011,2019,Chinese Consolidated Benevolent Association; The Republic of China
Frederick Douglass Memorial,Gabriel Koren,2011,2011,Commissioned through Department of Cultural Affairs Percent for Art Program
Frederick Douglass Memorial,Algernon Miller,2011,2011,Commissioned through Department of Cultural Affairs Percent for Art Program
Sugar in My Bowl II,Chakaia Booker,2012,2012,Commissioned through Department of Cultural Affairs Percent for Art Program
The Passage: A Moving Memorial,Mary Miss,2012,2012,Commissioned through Department of Cultural Affairs Percent for Art Program
Timecast,Nobuho Nagasawa,2012,2012,Commissioned through Department of Cultural Affairs Percent for Art Program
Lieutenant Joseph Petrosino,Carter Jones,2013,2014,"Gift of NYPD Columbia Association & Lt. Det. Joseph Petrosino Association in America, Inc."
Mathematical Star,Ellen Harvey,2013,2013,Commissioned through Department of Cultural Affairs Percent for Art Program
Bronx Archway,Alison Sky,2014,2014,Commissioned through Department of Cultural Affairs Percent for Art Program
Inside Out,Richard Artschwager,2014,2014,Commissioned through Department of Cultural Affairs Percent for Art Program
Tetherball Monument,Karyn Olivier,2014,2015,Commissioned through Department of Cultural Affairs Percent for Art Program
Two To One,Tom Joyce,2014,2014,NULL
The Source,Ester Partegàs,2015,2015,Commissioned through Department of Cultural Affairs Percent for Art Program
Writings at Helin Temple,Xu Bing,2015,2015,Commissioned through Department of Cultural Affairs Percent for Art Program
Double Sun,Mary Temple,2016,2016,Commissioned through Department of Cultural Affairs Percent for Art Program
New York City AIDS Memorial,Jenny Holzer,2016,2016,Gift of New York City AIDS Memorial
Peace Clock,Lina Gronli,2016,2016,Commissioned through Department of Cultural Affairs Percent for Art Program
Shirley Chisholm Plaque,NULL NULL,2016,2016,"Gift of St. Marks Avenue Independent Block Association Inc., Friends of Brower Park"
Sunbather,Ohad Meromi,2016,2016,Commissioned through Department of Cultural Affairs Percent for Art Program
9/11 First Responders Memorial,Masayuki Sono,2017,2017,Commissioned by the New York City Economic Development Corporation
I Ought to,Matthew Geller,2017,2017,Commissioned through Department of Cultural Affairs Percent for Art Program
Luminescence,Nobuho Nagasawa,2017,2018,Commissioned through Department of Cultural Affairs Percent for Art Program
Memorial to the 1956 Hungarian Revolution,Tamás Nagy,2017,2017,Gift of The Hungarian American Memorial Committee
Pageant,Brian Tolle,2017,2017,Commissioned through Department of Cultural Affairs Percent for Art Program
Plaza Perch,Austin Thomas,2017,2017,Commissioned through Department of Cultural Affairs Percent for Art Program
Para Roberto,Melissa Calderón,2019,2019,Commissioned through Department of Cultural Affairs Percent for Art Program
Women's Rights Pioneers Monument,Meredith Bergmann,2020,2020,Gift of Monumental Women
Egyptian Obelisk,NULL NULL,1461 BCE,1881,"Gift of Ismail, Khedive of Egypt, William H. Vanderbilt and Cecile B. DeMille"
Broad Channel Memorial Park Plaque,NULL NULL,NULL,NULL,Gift of Veterans of Foreign Wars of U.S.
City Island World War Memorial,NULL NULL,NULL,NULL,"Gift of Women's Auxiliary of Leonard H. Hawkins Post No. 156, American Legion"
Corporal Robert Gray Tree Marker,NULL NULL,NULL,NULL,NULL
Flanders Field Flagstaff,NULL NULL,NULL,NULL,Gift of Veterans of Foreign Wars
Garden of Meditation,NULL NULL,NULL,NULL,NULL
Gill and Bloom Plaques,NULL NULL,NULL,NULL,Commissioned by the New York State Department of Transportation
Livingston Honor Roll,NULL NULL,NULL,NULL,NULL
Neptune Fountain,NULL NULL,NULL,NULL,NULL
New Dorp World War I Memorial,NULL NULL,NULL,NULL,Gift of Citizens of New Dorp
Port Authority World War II Honor Roll,NULL NULL,NULL,NULL,Commissioned by the New York State Department of Transportation
Underground Railway Excavation Tablet,NULL NULL,NULL,NULL,Gift of a Private Donor
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,
, ,,,